ประทับเวลา,หัวข้อข่าว,Link,File upload
"24/12/2025, 9:32:50",ประกาศผลการสรรหาผู้มีผลงานดีเด่น สาขาครูภาษาไทย ประจำปี 2569 มูลนิธิสมาน - คุณหญิงเบญจา แสงมลิ,https://drive.google.com/file/d/1GHllqgdQ2UNp0tBDani-qnhasLjs1SE3/view?usp=sharing,
"6/10/2025, 14:37:10",วุฒิบัตรโครงการอบรมพัฒนาครูผู้ช่วยสู่การเป็นครูมืออาชีพ ปีงบประมาณ พ.ศ.2568,https://drive.google.com/drive/u/0/folders/12QZX5jnWOQaNRLkgQLAociaO09wqjSFT,
"15/9/2025, 9:13:54","ประกาศรายชื่อผู้ได้รับการคัดเลือก ""ครูดีในดวงใจ"" ครั้งที่ 23 ประจำปี พ.ศ. 2569 ระดับสำนักงานเขตพื้นที่การศึกษา",https://drive.google.com/file/d/1pauWRrmL4HqsLyJqbPLba7mKpCFDhSXo/view?usp=drive_link,
"3/9/2025, 13:31:28",ผลการคัดเลือกผู้เข้าร่วมอบรมทุนฝึกอบรมของศูนย์ SEAMEO QITEP in Mathematics ประจำปี 2568 หลักสูตร Clinical Supervision in Mathematics Education,https://drive.google.com/file/d/1UzMmFidQaci672JYXRd0nSBCxiIc13tO/view?usp=drive_link,
"18/7/2025, 11:47:23","การคัดเลือกครูเข้ารับรางวัลโครงการ ""ครูดีในดวงใจ"" ครั้งที่ 23 ประจำปี พ.ศ. 2569",https://drive.google.com/file/d/1Y4kWga6TUPUfROwDCD378RhC-x6iZ_o3/view,
"19/6/2025, 13:45:10",การคัดเลือกครู บุคลากรทางการศึกษา เพื่อรับรางวัลพระพฤหัสบดี ประจำปี พ.ศ. 2568,https://drive.google.com/file/d/1Csq5dXzP-kvfSgGAVkGWbHQdNSbjyLsc/view?usp=sharing,
"3/3/2025, 13:45:10",การคัดเลือกผู้ประกอบวิชาชีพทางการศึกษาเพื่อรับรางวัลคุรุสภา ประจำปี พ.ศ. 2568,https://drive.google.com/file/d/1foDGCKSEowKwOifqgysAERj-54zU3u4x/view?usp=sharing,
"31/1/2025, 13:45:10",ประกาศผลการคัดเลือกผู้สมควรได้รับรางวัลของคุรุสภา ประจำปี 2567,https://drive.google.com/file/d/1pU1BmI9EVsA6qiSFM4fjdeASsk_XPT3R/view?usp=sharing,
"27/8/2024, 13:45:10",การจัดทำเกียรติบัตรโครงการพัฒนาครูผู้ช่วยสู่การเป็นครูมืออาชีพงบประมาณ พ.ศ. 2567,https://drive.google.com/file/d/1TX-vg3L_VBycmfjf1XV5dp4l1adC-N1J/view,
"15/8/2024, 13:45:10","การคัดเลือกครูเข้ารับรางวัล ""ครูดีในดวงใจ"" ครั้งที่ 22 ประจำปี พ.ศ. 2568",https://drive.google.com/file/d/1Rx-vog2BUEyicjFSuuDGUM3YxTxcGaM3/view,
"24/7/2024, 13:45:10",การคัดเลือกครู บุคลากรทางการศึกษา เพื่อรับรางวัลพระพฤหัสบดี ประจำปี พ.ศ. 2567,https://drive.google.com/file/d/1iE6haXt_eLlW-kQt6tTjR6Se8lktk5eb/view,
"16/7/2024, 13:45:10",การประกวดหน่วยงานและผู้มีผลงานดีเด่นประสพผลสำเร็จเป็นที่ประจักษ์ เพื่อรับรางวัลทรงคุณค่า สพฐ. (OBEC AWARDS) ระดับภาค ครั้งที่ 12 ประจำปีการศึกษา 2565 - 2567,https://drive.google.com/file/d/1Yf70-tEnqESQv1QVDFxH2V_wAkVm6lvQ/view,
"16/7/2024, 13:45:10",การประกวดรางวัลหน่วยงานและผู้มีผลงานดีเด่นประสพผลสำเร็จ เป็นที่ประจักษ์ เพื่อรับรางวัลทรงคุณค่า สพฐ. (OBEC AWARDS) ระดับภาคเหนือ ครั้งที่ 12 ประจำปีการศึกษา 2565 - 2567,https://drive.google.com/file/d/1yncUsStvD5sNoi1Go0i1uO7e276-ENEw/view,
